ratio
6.31
6.31
6.31
6.36
6.36
6.36
6.36
6.36
6.36
6.36
6.36
6.36
6.36
6.36
6.42
6.42
6.42
6.42
6.42
6.42
6.42
6.42
6.42
5.81
5.25
5.11
5.15
5.18
5.15
4.94
3.96
3.26
2.41
1.61
1.78
2.11
1.9
1.96
1.35
1.11
1.29
2.26
1.48
1.51
1.77
2.07
1.67
1.29
1.81
1.97
1.27
1.43
2.05
2.1
1.32
1.83
1.68
2.47
1.69
1.56
1.93
2.03
1.31
1.55
1.47
2.32
2.04
2.01
1.27
2.5
1.44
1.98
